"Timestamp","Q1.1 Respondent's initials:","Q1.2 Paper's title","Q1.3 Paper's first author's family name","Q1.4 Publication year:","Q1.5 Publication journal:","Q1.6 Is paper self-describing as containing a meta-analysis (or meta-regression) or actually using meta-analysis/regression approach?","Comment for Q1.6","Q1.7. Is the study's main focus on comparative physiology?","Comment for Q1.7","Q1.8 Paper doi:","Q2.1 What is the type of effect sizes used?","Please also provide a quick note about what the effect size being used is, even if not ""other"". Comment for Q2.1","Q2.2 Does the study investigate any continuous environmental or methodological factors as moderators? (i.e., is it dosage or temperature dependent) ","Comment for Q2.2","Q2.3 Types of statistical models used, as mentioned in the paper or inferred from the descriptions (vote counting, random/fixed MA, MR, hierarchical, etc.)","Comment for Q2.3","Q2.4 Is this a formal meta-analysis (weighted model)?  ","Comment for Q2.4","Q2.5 Does the paper mention (or model) any issues related to data non-independence arising from multiple effect sizes obtained in single studies and/or from phylogenetic relatedness? ","Comment for Q2.5 ","Q2.6 Does the paper test/account for publication bias ?","Comment for Q2.6","Q2.7 Does the paper includes sensitivity analyses?","Comment for Q2.7","Q2.8 Does the paper report heterogeneity values? ","Comment for Q2.8","Q3.1 Does the paper report full list of included studies? ","Comment for Q3.1","Q3.2 What software was used for analyses?","Comment for Q3.2","Q3.3 Is the analysis code provided?","Comment for Q3.3","Q3.4 Is the data provided?","Comment for Q3.4","Q3.5 Where is the data ""hosted""?","Q3.5 Comment","Q3.6 If the data is available, is it ""useable""?","Q3.6 Comments"
"2021/06/18 7:05:51 PM GMT+10","SB","A review and meta-analysis of the effects of multiple abiotic stressors on marine embryos and larvae","Przeslawski","2014","Global Change Biology","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","study examines a variety of topics, many of which focus on comparative anatomy","10.1111/gcb.12833","SMD (d, g, etc.)","hedges d","yes (if you select ""yes"", please describe in comment)","temperature, salinity, pH","linear regression (including linear mixed-effects model)","","weighted model","""We used the AICc weights(wAICc) to generate weighted-average model predictions of main and interaction effect sizes under different covariate levels""","paper explicitly models non-independence (at least some of it)","""Models included a random effect coding for the study to account for the nonindependence of individual tests within a same study; this explicitly incorporates any heterogeneity between within-study and among-study variances in effect sizes""","yes, it uses graphical tests (e.g., funnel plot)","","yes","AIC","no","","yes","SI","unclear/other (add comment)","not mentioned","no","","yes","SI (https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.12833)
","Online Supplemental Material","","Data is in appropriate format, but the raw data is not provided","only final processed information provided"
"2021/06/18 7:10:08 PM GMT+10","SB","Comparative analyses of basal rate of metabolism in mammals: data selection does matter","Genoud","2017","Biological Reviews","no (add details to comment)","Comparative analysis","yes (i.e., focused only on physiological traits very clearly)","","10.1111/brv.12350","unclear/other (add comment) - Describe effect size","BMR (basal metabolic rate)","no","","unclear/other (add comment to describe)","phylogenetic generalized least squares","unclear/other model (add comment)","not mentioned","paper explicitly models non-independence (at least some of it)","lambda maximum likelihood","no","","yes","ANCOVA, Bartlett's test","no","","yes","* references and denoted in excel file","Other R package","caper, mgcv","no","","yes","SI (https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12350)","Online Supplemental Material","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes","excel file, but what are the columns?"
"2021/06/18 7:13:36 PM GMT+10","SB","A different angle: comparative analyses of whole-animal transport costs when running uphill","Halsey","2017","Journal of Experimental Biology","no (add details to comment)","Comparative analysis","yes (i.e., focused only on physiological traits very clearly)","","10.1242/jeb.142927","unclear/other (add comment) - Describe effect size","NCOT","no","","linear regression (including linear mixed-effects model)","linear regression and phylogenetic mixed models","weighted model","""Similarly, weighting by the square root of the number ofgradients for which each relationship was determined does not alterthis conclusion""","paper explicitly models non-independence (at least some of it)","","no","","yes","removed outliers","no","","yes","SI","Other R package","ASReml-R","no","","yes","SI (https://cob.silverchair-cdn.com/cob/content_public/journal/jeb/220/2/10.1242_jeb.142927/4/jeb142927supp.pdf?Expires=1626796335&Signature=a1ESFtHUaShfCNtFRnQI1UHqALm9oxGm1m99~QxSU94F9BrO1TO9aeOkJHUFvrwa1L~hmNVuYGvtwtubI~NgjibpgSV6iU7YoSuItElrVDkWNEDrHlcdKTuWaoar8SsRa-UowuzD1yQQY6YJeqDniTfSxZiEas70eUZ8XBv-JzogaAgtay6vNPuKjvoVMahzIre2fkmboc-dsaBdAiWf85wMH79uad1DoJk6QUlvp72yc46UWlAz2zIzboehanVgPiAVBCPafOShglF4ltCSyHdugfkaQ49yIFfwsaTQZEyMoob9ZUJJbOq4XyS7OuY8OPx4KyxeKd17hJLkYisfgA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA)","Online Supplemental Material","","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.","word document"
"2021/06/18 7:16:41 PM GMT+10","SB","Oxidative shielding and the cost of reproduction","Blount","2015","Biological Reviews","yes","","yes (i.e., focused only on physiological traits very clearly)","","10.1111/brv.12179","SMD (d, g, etc.);unclear/other (add comment) - Describe effect size","hedges g, Fishers Z","no","","random-effects meta-analysis (i.e., intercept only model, but has a study random effect ONLY)","","weighted model","","paper explicitly models non-independence (at least some of it)","switches from CMA to mcmcGLMM","yes, it uses graphical tests (e.g., funnel plot);yes, it uses trim-and-fill test","","no","","yes","Q","yes","list of which references from reference list are actually the studies used found through figure 1","R MCMCglmm;unclear/other (add comment)","CMA","no","","yes","SI (https://onlinelibrary.wiley.com/doi/10.1111/brv.12179)","Online Supplemental Material","","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.",""
"2021/06/18 7:19:33 PM GMT+10","SB","Repeatability of metabolic rate is lower for animals living underfield versus laboratory conditions","Auer","2016","Journal of Experimental Biology","yes","","yes (i.e., focused only on physiological traits very clearly)","","10.1242/jeb.133678","unclear/other (add comment) - Describe effect size","Fishers Z","no","","unclear/other (add comment to describe)","doesn't discuss models","unclear/other model (add comment)","doesn't discuss models","paper deals with non-independence in other than modeling way (e.g., aggregation, sampling)","re-sampling","yes, it uses graphical tests (e.g., funnel plot)","","no","","no","","yes","SI","unclear/other (add comment)","doesn't mention what software","no","","yes","SI (https://cob.silverchair-cdn.com/cob/content_public/journal/jeb/219/5/10.1242_jeb.133678/4/jeb133678supp.pdf?Expires=1626682423&Signature=xplHXKLvy0fK5bwAY5hTwaqRtltl6FBFSx5wXwaqNFbGWLVmHgNvhOsfRFYvopYwWrBsKZClX6PblGUS8vkBiq2cgcdyQOEc3bTfRpq7cTuLNvh7d0p56gqSP~Qc5EzSyCCufGIp1XY4ASW2qwKeEbYctQfDvd4zhoXYg1mV1qXY-tc2EkDCr49EsoZl8jRCjXnLnKorkqAxSZysd5owHa8OP5HaOQjyWPvvRE1U3bDUPDH4uhwzmnAHcIiKRZiOiLY2n4MpJi9GwQMXBhUh4oIg-BWcH6O09GS2pRhidBn5TJfVzFes9nhK7UE5EUY6MfgjausQJtsiazKEICmyJA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA)","Online Supplemental Material","","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.",""
"2021/06/18 7:23:23 PM GMT+10","SB","The Importance of Carotenoid Dose in Supplementation Studies with Songbirds","Koch","2016","Physiological and Biochemical Zoology","yes","","yes (i.e., focused only on physiological traits very clearly)","","10.1086/684485","unclear/other (add comment) - Describe effect size","doesn't describe how effect size was calculated","no","","meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","unclear/other/not mentioned","not mentioned","yes, it uses graphical tests (e.g., funnel plot)","","yes","removed outlier, subgroup analyses","yes","Q","","","R metafor","","no","","yes","SI (https://www.journals.uchicago.edu/doi/suppl/10.1086/684485)
","Online Supplemental Material","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/18 7:28:23 PM GMT+10","SB","Sperm number trumps sperm size in mammalian ejaculate evolution","Lupold","2015","Proceedings of Royal Society B","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","looks at reproductive allocation and body size","10.1098/rspb.2015.2122","correlation (r);unclear/other (add comment) - Describe effect size","Fishers Z","no","","unclear/other (add comment to describe)","phylogenetic generalized least-squares","weighted model","","paper deals with non-independence in other than modeling way (e.g., aggregation, sampling)","""Using likelihood ratio tests, we established whether the models with the maximum-likelihood value of lambda  differed from models with values of lambda set to 0 or 1, respectively. Values of lambda close to 0 indicate phylogenetic independence and those close to 1 suggest a strong phylogenetic association of the traits""","no","","yes","""Since the unequal distribution of speciesalong the body-size spectrum rendered these analyses sensitiveto changes in both the width of the sliding window and theposition of the first window (which then determined the cut-offs for each of the following windows), we repeated these ana-lyses with varying window sizes and starting points and foundlargely consistent patterns regardless of the parameter settings""","no","","yes","Dryad (https://datadryad.org/stash/dataset/doi:10.5061/dryad.h0246) and SI (https://royalsocietypublishing.org/action/downloadSupplement?doi=10.1098%2Frspb.2015.2122&file=rspb20152122supp1.pdf)","unclear/other (add comment)","just mentions ""R v.3.2""","no","","yes","https://datadryad.org/stash/dataset/doi:10.5061/dryad.h0246 and https://royalsocietypublishing.org/action/downloadSupplement?doi=10.1098%2Frspb.2015.2122&file=rspb20152122supp1.pdf","Other (Comment)","SI (supplementary information) and Dryad","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.","txt format"
"2021/06/18 7:32:01 PM GMT+10","SB","A meta-analysis of plasma corticosterone and heterophil: lymphocyte ratios–is there conservation of physiological stress responses over time?","Goessling","2015","Functional Ecology","yes","","yes (i.e., focused only on physiological traits very clearly)","","10.1111/1365-2435.12442","Response Ratio (lnRR)",""" ratio of ln-transformed treatment population means divided by ln-trans-formed  control  population  means""","no","","linear regression (including linear mixed-effects model);weighted regression including mixed effects models","","weighted model","","paper deals with non-independence in other than modeling way (e.g., aggregation, sampling)","""While  we  did  notinclude pseudoreplicates from factorial designs, we did includemultiple effect sizes from single studies if the study includedmultiple independent population means for CORT and HLR""","no","","no","","yes","Q","yes","supplement","Other R package;unclear/other (add comment)","CMA and R segmented","no","","no","""All data in this manuscript have been published elsewhere; thus, data arenot separately archived"", but LRRs in SI","","","",""
"2021/06/18 7:34:51 PM GMT+10","SB","An appraisal of how the vitamin A-redox hypothesis can maintain honesty of carotenoid-dependent signals","Simons","2015","Ecology and Evolution","yes","","yes (i.e., focused only on physiological traits very clearly)","","10.1002/ece3.1364","correlation (r)","r","no","","random-effects meta-analysis (i.e., intercept only model, but has a study random effect ONLY)","","weighted model","","unclear/other/not mentioned","not mentioned","yes, it uses graphical tests (e.g., funnel plot);unclear/other","rank test","no","","yes","Q","yes","figure 2","R metafor","","no","","no","","","","",""
"2021/06/18 7:37:41 PM GMT+10","SB","A meta-analysis of in vivovertebrate cardiac performance:implications for cardiovascular support in the evolution of endothermy","Hillman","2015","Journal of Experimental Biology","yes","","yes (i.e., focused only on physiological traits very clearly)","","10.1242/jeb.118372","unclear/other (add comment) - Describe effect size","doesn't describe what the effect size is, has multiple different body metrics","no","","linear regression (including linear mixed-effects model)","least-square linear regression","unclear/other model (add comment)","not mentioned","unclear/other/not mentioned","not mentioned","no","","no","","no","","yes","methods","unclear/other (add comment)","PRISM","no","","yes","table 1","Other (Comment)","main text","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.","pdf"
"2021/06/18 7:41:24 PM GMT+10","SB","Environmental and ecological correlates of avian field metabolic rate and water flux","Song","2020","Functional Ecology","no (add details to comment)","""phylogenetically informed analysis using the information-theoretic approach""","yes (i.e., focused only on physiological traits very clearly)","","10.1111/1365-2435.13526","unclear/other (add comment) - Describe effect size","lists both log-transformed variables and phylogenetic generalised least squares as main variables of the model","yes (if you select ""yes"", please describe in comment)","temperature","unclear/other (add comment to describe)","Brownian motion model","weighted model","AICc weight","paper only mentions non-independence (e.g., in limitations)","","no","","yes","AIC","no","","yes","SI (https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13526)","Other R package","Caper, MuMIn","no","","yes","Dryad (https://datadryad.org/stash/dataset/doi:10.5061/dryad.t4b8gthxx) and SI (https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13526)","Other (Comment)","Dryad and SI","Data is in appropriate format, but the raw data is not provided","excel file with most variables, but some listed in methods are missing"
"2021/06/18 7:45:50 PM GMT+10","SB","Baseline and stress-induced corticosterone levels across birds and reptiles do not reflect urbanization levels","Injaian","2020","Conservation Physiology","no (add details to comment)","phylogenetic comparative analysis","yes (i.e., focused only on physiological traits very clearly)","","1093/conphys/coz110","unclear/other (add comment) - Describe effect size","cortisone levels","no","","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);linear regression (including linear mixed-effects model)","linear mixed model","unclear/other model (add comment)","weighted human footprint index, unsure about model","paper explicitly models non-independence (at least some of it)","","no","","yes","DIC","no","","unclear/other (add comment)","cannot distinguish between papers used vs papers referenced","R MCMCglmm;Other R package","arm","no","","yes","https://hormonebase.org/database/","Figshare","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/18 7:49:49 PM GMT+10","SB","Rate dynamics of ectotherm responses to thermal stress","Kovacevic","2019","Proceedings of Royal Society B","no (add details to comment)","comprehensive empirical analysis","yes (i.e., focused only on physiological traits very clearly)","","10.1098/rspb.2019.0174","unclear/other (add comment) - Describe effect size","critical thermal limit","yes (if you select ""yes"", please describe in comment)","temperature","linear regression (including linear mixed-effects model)","""linear model on a semi-logarithmic scale""","unclear/other model (add comment)","not mentioned","paper explicitly models non-independence (at least some of it)","phylogenetic generalized least-squares","no","","yes","AICc, removed outliers","no","","yes","Tables in SI (https://rs.figshare.com/collections/Supplementary_material_from_Rate_dynamics_of_ectotherm_responses_to_thermal_stress_/4472519)","Other R package","caper, bbmle","yes","https://bridges.monash.edu/articles/dataset/Rate_dynamics_of_ectotherm_responses_to_thermal_stress/7611713?file=14668406","yes","Figshare https://bridges.monash.edu/articles/dataset/Rate_dynamics_of_ectotherm_responses_to_thermal_stress/7611713?file=14668406","Figshare","university figshare","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/18 8:12:11 PM GMT+10","SB","Metabolic physiology explains macroevolutionary trends in the melanic colour system across amniotes","Eliason","2018","Proceedings of Royal Society B","no (add details to comment)","multivariate comparative analysis","yes (i.e., focused only on physiological traits very clearly)","","10.1098/rspb.2018.2014","unclear/other (add comment) - Describe effect size","standard metabolic rate SMR","no","","unclear/other (add comment to describe)","Phylogenetic Bayesian mixed models","unclear/other model (add comment)","not mentioned","paper explicitly models non-independence (at least some of it)","","no","","yes","DIC, cross validation tests","no","","unclear/other (add comment)","unsure if SI list is all references or just those from SI material","R MCMCglmm;Other R package","Geiger","yes","Dryad (https://datadryad.org/stash/dataset/doi:10.5061/dryad.qv871g8)","yes","Dryad (https://datadryad.org/stash/dataset/doi:10.5061/dryad.qv871g8)","Dryad","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/18 8:16:14 PM GMT+10","SB","Mass-independent maximal metabolic rate predicts geographic range size of placental mammals","Hayes","2018","Functional Ecology","no (add details to comment)","just refer to it as analyzing data (conventional analysis and phylogenetic analysis)","yes (i.e., focused only on physiological traits very clearly)","","10.1111/1365-2435.13053","unclear/other (add comment) - Describe effect size","metabolic rate MMR","no","","linear regression (including linear mixed-effects model)","Ordinary least squares regression","unclear/other model (add comment)","not mentioned","paper explicitly models non-independence (at least some of it)","phylogenetic generalized least-squares","no","","no","","yes","R^2, shapiro wilks test","yes","Dryad (https://datadryad.org/stash/dataset/doi:10.5061/dryad.08c4c)","Other R package;unclear/other (add comment)","caper, SAS","no","","yes","Dryad (https://datadryad.org/stash/dataset/doi:10.5061/dryad.08c4c)","Dryad","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes","csv"
"2021/06/18 8:19:51 PM GMT+10","SB","Mass, phylogeny, and temperature are sufficient to explain differences in metabolic scaling across mammalian orders?","Griebeler","2016","Ecology and Evolution","no (add details to comment)","""ordinary least squares regression analysis""","yes (i.e., focused only on physiological traits very clearly)","","10.1002/ece3.2555","unclear/other (add comment) - Describe effect size","basal metabolic rate (BMR) and body mass (BM)","no","","linear regression (including linear mixed-effects model)","Ordinary least squares regression","unclear/other model (add comment)","not mentioned","paper explicitly models non-independence (at least some of it)","phylogenetic generalized least-squares","no","","yes","AICc","no","","unclear/other (add comment)","cannot distinguish between papers used vs papers referenced","Other R package","nlme and ape","no","","yes","SI (https://onlinelibrary.wiley.com/doi/10.1002/ece3.2555)","Online Supplemental Material","","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.","word document"
"2021/06/18 8:24:34 PM GMT+10","SB","Co-adjustment of yolk antioxidants and androgens in birds","Giraudeau","2016","Biology Letters","no (add details to comment)","Comparative analysis","yes (i.e., focused only on physiological traits very clearly)","","10.1098/rsbl.2016.0676","unclear/other (add comment) - Describe effect size","concentration of antioxidant or hormone","yes (if you select ""yes"", please describe in comment)","dosage","linear regression (including linear mixed-effects model)","phylogenetic linear mixed models","unclear/other model (add comment)","not mentioned","paper explicitly models non-independence (at least some of it)","""This allowed us to control for possible phylo-genetic effects""","no","","no","","no","","no","","R MCMCglmm","","no","","yes","Dryad (https://datadryad.org/stash/dataset/doi:10.5061/dryad.7gk6d) and FigShare (https://figshare.com/collections/Supplementary_material_from_Co-adjustment_of_yolk_antioxidants_and_androgens_in_birds_/3569529)","Other (Comment)","Dryad and Figshare","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/18 8:28:10 PM GMT+10","SB","Phylogenetic comparisons of pedestrian locomotion costs:confirmations and new insights","White","2016","Ecology and Evolution","no (add details to comment)","phylogenetically informed comparative analyse","yes (i.e., focused only on physiological traits very clearly)","","10.1002/ece3.2267","unclear/other (add comment) - Describe effect size","COTmin","no","""We investigate the noctur-nality hypothesis by testing for an effect in ectotherms of temperature on COTmin to determine whether species active at low body temperatures have high COTmin""
","unclear/other (add comment to describe)","phylogenetic generalised least squares","weighted model","","paper explicitly models non-independence (at least some of it)","","no","","yes","AIC","no","","yes","SI (https://onlinelibrary.wiley.com/doi/10.1002/ece3.2267)","Other R package","ape and caper","no","","yes","SI (https://onlinelibrary.wiley.com/doi/10.1002/ece3.2267)","Online Supplemental Material","","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.","word document"
"2021/06/18 8:31:32 PM GMT+10","SB","Energetics of stress: linking plasmacortisol levels to metabolic rate in mammals","Haase","2015","Biology Letters","no (add details to comment)","comparative analysis","yes (i.e., focused only on physiological traits very clearly)","","10.1098/rsbl.2015.0867","unclear/other (add comment) - Describe effect size","cortisol concentrations","no","","linear regression (including linear mixed-effects model)","Bayesian generalized linear mixed model","unclear/other model (add comment)","not mentioned","paper explicitly models non-independence (at least some of it)","","unclear/other","not mentioned","yes","DIC","yes","R^2","unclear/other (add comment)","SI has a reference list, but not stated that these are the references for the data, includes references for the supplementary methods","R MCMCglmm;Other R package","ape and picante","no","","yes","SI (https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2015.0867)","Online Supplemental Material","","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.","word document"
"2021/06/18 8:36:14 PM GMT+10","SB","Circulating white blood cell counts in captive and wild rodents are influenced by body mass rather than testes mass, a correlate of mating promiscuity","Tian","2015","Functional Ecology","no (add details to comment)","Comparative analysis","yes (i.e., focused only on physiological traits very clearly)","","10.1111/1365-2435.12394","unclear/other (add comment) - Describe effect size","body mass","no","","linear regression (including linear mixed-effects model)","linear model","weighted model","","paper explicitly models non-independence (at least some of it)","phylogenetic generalized least-squares","no","not mentioned","yes","AIC","yes","","yes","SI (https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12394)","Other R package","nlme, ape","no","","yes","SI (https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12394)","Online Supplemental Material","","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.","word document"
"2021/06/18 8:39:13 PM GMT+10","SB","The response of amphibian larvae to environmental change is both consistent and variable","Edge","2016","Oikos","yes","","yes (i.e., focused only on physiological traits very clearly)","","10.1111/oik.03166","SMD (d, g, etc.)","hedges d","yes (if you select ""yes"", please describe in comment)","temperature","weighted regression including mixed effects models","","weighted model","","paper explicitly models non-independence (at least some of it)","","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression)","","yes","AIC and log likelihood ratios","yes","Q","yes","Dryad (https://datadryad.org/stash/dataset/doi:10.5061/dryad.6rn80)","R metafor","","no","","yes","Dryad (https://datadryad.org/stash/dataset/doi:10.5061/dryad.6rn80)","Dryad","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes","csv"
